seed,model,val,train,test,RMSE
27,ExtraTreesRegressor,0.5683616245800602,0.9400367121929667,0.6200352482096495,0.1035478945482319
28,ExtraTreesRegressor,0.5844686982807278,0.9358551919240079,0.6684227247106895,0.10198534385656358
29,ExtraTreesRegressor,0.5948143500357471,0.9381043926486904,0.6050351310983494,0.10351605923925496
30,ExtraTreesRegressor,0.5938423052035585,0.9389344098249143,0.584275649469868,0.09406594213377091
31,ExtraTreesRegressor,0.5703461852774786,0.9371321254617735,0.6145970764142132,0.10752599711169988
32,ExtraTreesRegressor,0.6047854580693863,0.9430258877913236,0.49535422891602476,0.11471295454881228
33,ExtraTreesRegressor,0.5940982343272709,0.9393296400231536,0.5933847022331504,0.10559078224112696
34,ExtraTreesRegressor,0.588968544291971,0.9363384351368943,0.6167210910068509,0.10184119755021259
35,ExtraTreesRegressor,0.5691474416220641,0.9378778499568742,0.6133765810812966,0.11336885528458138
36,ExtraTreesRegressor,0.5913215797087534,0.941471515073044,0.5596209457690431,0.09711351240085249
37,ExtraTreesRegressor,0.5799312969465823,0.9384172499544827,0.6746051197083724,0.09375240449886414
38,ExtraTreesRegressor,0.5966518262013724,0.9388041470927176,0.609433495664892,0.09710401348659838
39,ExtraTreesRegressor,0.58270095028458,0.9379713654938872,0.6309348844546969,0.10243376792217095
40,ExtraTreesRegressor,0.5984846108901953,0.9402837598085306,0.5666508342356642,0.11108884246848032
41,ExtraTreesRegressor,0.6085482056459086,0.9417337250107705,0.5398449814437004,0.11855611602371617
42,ExtraTreesRegressor,0.5948036981183709,0.9380878874984993,0.5712336520112382,0.10120202489881272
43,ExtraTreesRegressor,0.5675227800539583,0.9346141382214684,0.6621042613883834,0.0958268561396974
44,ExtraTreesRegressor,0.5886496169279748,0.9370140660752286,0.5839722806231193,0.10780013527112246
45,ExtraTreesRegressor,0.5785408860535487,0.9361587661520017,0.6021595737171772,0.10411219228849723
46,ExtraTreesRegressor,0.5622719497200479,0.9383623556056646,0.6352526107531753,0.10178301724830591
47,ExtraTreesRegressor,0.5954987122821069,0.9393819897170292,0.5930870138864941,0.1035336226893453
48,ExtraTreesRegressor,0.5994328886480146,0.9402580887232006,0.5456916196807688,0.10864817551995323
49,ExtraTreesRegressor,0.5774637122056803,0.9422861500243499,0.6057296580368294,0.10703599091533282
50,ExtraTreesRegressor,0.5650082492937427,0.939015670594113,0.6139940168768416,0.10376569032303849
51,ExtraTreesRegressor,0.6006816646257988,0.9413343307996789,0.5340332404106751,0.10859989824268981
52,ExtraTreesRegressor,0.5920981570622772,0.9415937784518356,0.5330594509988712,0.11216900439881049
53,ExtraTreesRegressor,0.5943418451672329,0.9384999145469463,0.5877149078106734,0.11462150244384486
54,ExtraTreesRegressor,0.5935639369491992,0.9426112546445654,0.5436383935438744,0.1002842796073005
55,ExtraTreesRegressor,0.5994963752681499,0.94114890915712,0.5823904110236822,0.10513137543251777
56,ExtraTreesRegressor,0.5935407306655411,0.9385938340875393,0.5710244370410358,0.11150963858789154
57,ExtraTreesRegressor,0.6045446615734816,0.9396771988427484,0.568436830555884,0.10826977220307916
58,ExtraTreesRegressor,0.6178903785427051,0.9420261989303274,0.5183114364945125,0.10390115944137886
59,ExtraTreesRegressor,0.5842888254734923,0.9380644126765769,0.5885430929741824,0.10583838926745857
60,ExtraTreesRegressor,0.5859578690385869,0.9380151540019752,0.5946146395908506,0.10739030761037696
61,ExtraTreesRegressor,0.5977572577679344,0.9396683138693585,0.573166421811276,0.11190944700237804
62,ExtraTreesRegressor,0.6094269401724542,0.9421079999658017,0.5506759790301015,0.11059105798395856
63,ExtraTreesRegressor,0.5771514785749635,0.9364652275496594,0.626337568320554,0.10935874689759925
